#cache,OPT,LRU,FIFO,RAND,CLOCK
5,42.15,17.44,17.17,17.2,17.02
10,63.02,34.01,32.55,33.86,33.64
15,75.69,49.74,46.79,46.29,48.24
20,83.99,64.22,57.89,57.98,61.26
25,88.47,75.73,66.7,67.07,70.15
30,91,82.99,72.99,73.09,76.21
35,92.73,86.85,77.63,77.69,80.23
40,94.02,88.86,81.38,82.02,83.9
45,95.13,90.32,84.21,84.29,86.25
50,96.07,91.5,87.2,87.28,88.83
55,96.89,92.74,89.72,89.68,90.23
60,97.57,94.02,91.81,92.12,93
65,98.1,95.57,93.73,94.01,93.94
70,98.58,96.87,95.79,95.79,95.98
75,98.94,98.12,97.56,97.8,97.76
80,99.2,99.2,99.2,99.2,99.2
85,99.2,99.2,99.2,99.2,99.2
90,99.2,99.2,99.2,99.2,99.2
95,99.2,99.2,99.2,99.2,99.2
100,99.2,99.2,99.2,99.2,99.2
