#cache,OPT,LRU,FIFO,RAND,CLOCK
5,22.16,4.93,4.84,4.94,4.95
10,35,9.98,9.85,9.78,9.95
15,44.01,15.07,14.91,14.73,14.69
20,51.29,20.19,20.05,19.49,19.85
25,57.4,24.54,24.43,24.95,24.9
30,62.7,29.54,29.51,29.59,29.27
35,67.36,34.21,34.22,34.93,34.92
40,71.55,39.37,39.15,40.29,39.64
45,75.21,44.16,44.11,44.34,43.71
50,78.6,48.87,49.79,48.86,49.3
55,81.71,53.89,53.96,54.27,53.61
60,84.5,59.04,59.3,59.64,59.82
65,87.05,64.45,63.81,64.23,63.98
70,89.39,69.23,69.72,69.4,68.82
75,91.51,74.08,74.19,74.35,74.56
80,93.45,79.13,79.15,79.84,78.78
85,95.16,84.06,83.71,84.23,84.38
90,96.63,89.25,89.41,88.52,89.59
95,97.9,94.23,93.9,94.31,94.09
100,99,99,99,99,99
